,Age,Gender,Marital Status,Occupation,Monthly Salary,Educational Qualifications,Family size,Pin code,Output,Age (Month)
378,23,F,Single,Employee,25001 to 50000,Post Graduate,Small,560100,1.0,23
379,22,M,Single,Student,Below Rs.10000,Post Graduate,Large,560010,1.0,22
380,27,F,Married,Employee,More than 50000,Post Graduate,Small,560103,1.0,27
381,22,M,Single,Student,No Income,Graduate,Small,560009,1.0,22
382,24,F,Single,Student,No Income,Post Graduate,Small,560042,1.0,24
383,23,F,Single,Student,No Income,Post Graduate,Small,560001,1.0,23
384,23,F,Single,Student,No Income,Post Graduate,Large,560048,1.0,23
385,22,F,Single,Student,No Income,Post Graduate,Large,560010,1.0,22
386,23,M,Single,Student,Below Rs.10000,Post Graduate,Small,560009,1.0,23
387,23,M,Single,Student,No Income,Post Graduate,Large,560078,1.0,23
